Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance
"",10/13/2016,,,10.00,,Posted,
"",10/13/2016,,,3.20,,Posted,
"",10/13/2016,,,11.96,,Posted,
"",10/13/2016,,,200.00,,Posted,
"",10/12/2016,,,2353.00,,Posted,
"",10/12/2016,,,2.66,,Posted,
"",10/11/2016,,,2.00,,Posted,
"",10/11/2016,,,32.32,,Posted,
"",10/11/2016,,,33.34,,Posted,
"",10/11/2016,,,31.46,,Posted,
"",10/11/2016,,,9.30,,Posted,
"",10/11/2016,,,6.93,,Posted,
"",10/11/2016,,,3.26,,Posted,
"",10/11/2016,,,3.20,,Posted,
"",10/11/2016,,,3.20,,Posted,
"",10/11/2016,,,3.20,,Posted,
"",10/11/2016,,,2.66,,Posted,
"",10/11/2016,,,202.50,,Posted,
"",10/7/2016,,,2200.00,,Posted,
"",10/7/2016,,,23.54,,Posted,
"",10/7/2016,,,2.77,,Posted,
"",10/7/2016,,,,,Posted,
"",10/6/2016,,,650.00,,Posted,
"",10/5/2016,,,6.93,,Posted,
"",10/5/2016,,,3.72,,Posted,
"",10/5/2016,,,2.66,,Posted,
"",10/5/2016,,,,,Posted,
"",10/4/2016,,,10.39,,Posted,
"",10/4/2016,,,4.79,,Posted,
"",10/4/2016,,,3.20,,Posted,
"",10/4/2016,,,.80,,Posted,
"",10/3/2016,,,31.67,,Posted,
"",10/3/2016,,,5.33,,Posted,
"",10/3/2016,,,3.20,,Posted,
"",10/3/2016,,,3.20,,Posted,
"",10/3/2016,,,4.87,,Posted,
"",9/30/2016,,,50.00,,Posted,
"",9/30/2016,,,10.00,,Posted,
"",9/30/2016,,,3.20,,Posted,
"",9/30/2016,,,3.20,,Posted,
"",9/29/2016,,,10.00,,Posted,
"",9/29/2016,,,3.20,,Posted,
"",9/29/2016,,,300.00,,Posted,
"",9/27/2016,,,280.14,,Posted,
"",9/27/2016,,,31.11,,Posted,
"",9/27/2016,,,3.20,,Posted,
"",9/26/2016,,,8.99,,Posted,
"",9/26/2016,,,73.48,,Posted,
"",9/26/2016,,,56.67,,Posted,
"",9/26/2016,,,5.01,,Posted,
"",9/26/2016,,,3.20,,Posted,
"",9/26/2016,,,3.20,,Posted,
"",9/26/2016,,,3.20,,Posted,
"",9/26/2016,,,2.77,,Posted,
"",9/26/2016,,,,,Posted,
"",9/23/2016,,,2.00,,Posted,
"",9/23/2016,,,104.14,,Posted,
"",9/23/2016,,,3.20,,Posted,
"",9/23/2016,,,2.66,,Posted,
"",9/23/2016,,,202.50,,Posted,
"",9/23/2016,,,,,Posted,
"",9/22/2016,,,2398.85,,Posted,
"",9/22/2016,,,23.94,,Posted,
"",9/21/2016,,,299.34,,Posted,
"",9/21/2016,,,271.00,,Posted,
"",9/21/2016,,,2.66,,Posted,
"",9/21/2016,,,2.66,,Posted,
"",9/20/2016,,,6.00,,Posted,
"",9/20/2016,,,3.20,,Posted,
"",9/19/2016,,,500.00,,Posted,
"",9/19/2016,,,169.20,,Posted,
"",9/19/2016,,,20.05,,Posted,
"",9/19/2016,,,3.20,,Posted,
"",9/19/2016,,,3.20,,Posted,
"",9/19/2016,,,3.20,,Posted,
"",9/19/2016,,,3.20,,Posted,
"",9/19/2016,,,3.20,,Posted,
"",9/19/2016,,,2.66,,Posted,
"",9/16/2016,,,293.04,,Posted,
"",9/16/2016,,,2.77,,Posted,
"",9/16/2016,,,2.77,,Posted,
"",9/16/2016,,,33.91,,Posted,
"",9/16/2016,,,30.25,,Posted,
"",9/15/2016,,,1199.43,,Posted,
"",9/15/2016,,,70.94,,Posted,
"",9/15/2016,,,6.93,,Posted,
"",9/15/2016,,,3.20,,Posted,
"",9/14/2016,,,4.26,,Posted,
"",9/13/2016,,,35.30,,Posted,
"",9/13/2016,,,5.54,,Posted,
"",9/13/2016,,,3.42,,Posted,
"",9/12/2016,,,542.49,,Posted,
"",9/12/2016,,,24.61,,Posted,
"",9/12/2016,,,3.20,,Posted,
"",9/12/2016,,,3.20,,Posted,
"",9/12/2016,,,3.20,,Posted,
"",9/12/2016,,,3.20,,Posted,
"",9/12/2016,,,2.77,,Posted,
"",9/12/2016,,,300.00,,Posted,
"",9/9/2016,,,39.55,,Posted,
"",9/9/2016,,,,,Posted,
"",9/9/2016,,,,,Posted,
"",9/8/2016,,,1905.36,,Posted,
"",9/8/2016,,,6.92,,Posted,
"",9/8/2016,,,,,Posted,
"",9/6/2016,,,2.00,,Posted,
"",9/6/2016,,,26.08,,Posted,
"",9/6/2016,,,47.57,,Posted,
"",9/6/2016,,,31.33,,Posted,
"",9/6/2016,,,7.10,,Posted,
"",9/6/2016,,,3.52,,Posted,
"",9/6/2016,,,3.20,,Posted,
"",9/6/2016,,,.80,,Posted,
"",9/6/2016,,,202.50,,Posted,
"",9/2/2016,,,3.20,,Posted,
"",9/1/2016,,,75.36,,Posted,
"",9/1/2016,,,26.83,,Posted,
"",9/1/2016,,,23.10,,Posted,
"",9/1/2016,,,3.20,,Posted,
"",8/31/2016,,,3.20,,Posted,
"",8/31/2016,,,2.54,,Posted,
"",8/30/2016,,,2.00,,Posted,
"",8/30/2016,,,202.50,,Posted,
"",8/29/2016,,,280.14,,Posted,
"",8/29/2016,,,17.99,,Posted,
"",8/29/2016,,,3.20,,Posted,
"",8/29/2016,,,2.77,,Posted,
"",8/26/2016,,,2.00,,Posted,
"",8/26/2016,,,8.99,,Posted,
"",8/26/2016,,,3.20,,Posted,
"",8/26/2016,,,3.20,,Posted,
"",8/26/2016,,,3.20,,Posted,
"",8/26/2016,,,202.50,,Posted,
"",8/26/2016,,,,,Posted,
"",8/25/2016,,,2.31,,Posted,
"",8/24/2016,,,109.76,,Posted,
"",8/23/2016,,,200.00,,Posted,
"",8/23/2016,,,,,Posted,
"",8/22/2016,,,271.00,,Posted,
"",8/22/2016,,,6.00,,Posted,
"",8/22/2016,,,109.85,,Posted,
"",8/22/2016,,,29.47,,Posted,
"",8/19/2016,,,3.20,,Posted,
"",8/19/2016,,,200.00,,Posted,
"",8/18/2016,,,100.00,,Posted,
"",8/18/2016,,,20.05,,Posted,
"",8/18/2016,,,3.41,,Posted,
"",8/18/2016,,,3.20,,Posted,
"",8/18/2016,,,3.20,,Posted,
"",8/17/2016,,,92.00,,Posted,
"",8/16/2016,,,95.61,,Posted,
"",8/16/2016,,,95.61,,Posted,
"",8/16/2016,,,33.28,,Posted,
"",8/16/2016,,,2.24,,Posted,
"",8/16/2016,,,,,Posted,
"",8/12/2016,,,12.32,,Posted,
"",8/12/2016,,,,,Posted,
"",8/11/2016,,,308.51,,Posted,
"",8/10/2016,,,2.00,,Posted,
"",8/10/2016,,,2.77,,Posted,
"",8/10/2016,,,202.75,,Posted,
"",8/8/2016,,,185.00,,Posted,
"",8/8/2016,,,71.69,,Posted,
"",8/8/2016,,,36.77,,Posted,
"",8/8/2016,,,21.00,,Posted,
"",8/8/2016,,,16.94,,Posted,
"",8/8/2016,,,5.97,,Posted,
"",8/8/2016,,,5.54,,Posted,
"",8/8/2016,,,2.66,,Posted,
"",8/5/2016,,,572.00,,Posted,
"",8/5/2016,,,21.00,,Posted,
"",8/5/2016,,,4.98,,Posted,
"",8/5/2016,,,9.76,,Posted,
"",8/5/2016,,,,,Posted,
"",8/3/2016,,,2.00,,Posted,
"",8/3/2016,,,26.08,,Posted,
"",8/3/2016,,,.80,,Posted,
"",8/3/2016,,,96.94,,Posted,
"",8/3/2016,,,84.81,,Posted,
"",8/3/2016,,,21.22,,Posted,
"",8/3/2016,,,303.50,,Posted,
"",8/2/2016,,,29.96,,Posted,
"",8/2/2016,,,8.81,,Posted,
"",8/2/2016,,,7.21,,Posted,
"",8/2/2016,,,200.00,,Posted,
"",8/1/2016,,,25.00,,Posted,
"",8/1/2016,,,280.14,,Posted,
"",8/1/2016,,,18260.19,,Posted,
"",8/1/2016,,,32.44,,Posted,
"",8/1/2016,,,12.65,,Posted,
"",8/1/2016,,,24.32,,Posted,
"",7/29/2016,,,38.59,,Posted,
"",7/29/2016,,,7.07,,Posted,
"",7/29/2016,,,4.49,,Posted,
"",7/29/2016,,,,,Posted,
"",7/28/2016,,,13.00,,Posted,
"",7/27/2016,,,39.75,,Posted,
"",7/27/2016,,,3.47,,Posted,
"",7/27/2016,,,3.07,,Posted,
"",7/27/2016,,,200.00,,Posted,
"",7/26/2016,,,8.99,,Posted,
"",7/26/2016,,,30.57,,Posted,
"",7/26/2016,,,7.07,,Posted,
"",7/25/2016,,,98.78,,Posted,
"",7/25/2016,,,54.16,,Posted,
"",7/25/2016,,,39.26,,Posted,
"",7/25/2016,,,26.00,,Posted,
"",7/25/2016,,,17.11,,Posted,
"",7/25/2016,,,8.23,,Posted,
"",7/25/2016,,,3.18,,Posted,
"",7/25/2016,,,1.54,,Posted,
"",7/25/2016,,,3.56,,Posted,
"",7/22/2016,,,7.07,,Posted,
"",7/21/2016,,,48.36,,Posted,
"",7/21/2016,,,7.07,,Posted,
"",7/21/2016,,,9.80,,Posted,
"",7/20/2016,,,271.00,,Posted,
"",7/20/2016,,,6.00,,Posted,
"",7/20/2016,,,103.03,,Posted,
"",7/19/2016,,,16.55,,Posted,
"",7/18/2016,,,1082.80,,Posted,
"",7/18/2016,,,20.05,,Posted,
"",7/18/2016,,,7.07,,Posted,
"",7/18/2016,,,4.49,,Posted,
"",7/15/2016,,,2.00,,Posted,
"",7/15/2016,,,7.07,,Posted,
"",7/15/2016,,,202.50,,Posted,
"",7/15/2016,,,,,Posted,
"",7/14/2016,,,145.26,,Posted,
"",7/14/2016,,,54.21,,Posted,
"",7/13/2016,,,8.11,,Posted,
"",7/13/2016,,,7.07,,Posted,
"",7/13/2016,,,2.84,,Posted,
"",7/11/2016,,,247.00,,Posted,
"",7/11/2016,,,22.63,,Posted,
"",7/11/2016,,,19.47,,Posted,
"",7/11/2016,,,15.76,,Posted,
"",7/11/2016,,,6.44,,Posted,
"",7/11/2016,,,3.07,,Posted,
"",7/8/2016,,,20.00,,Posted,
"",7/8/2016,,,25.00,,Posted,
"",7/8/2016,,,20.26,,Posted,
"",7/8/2016,,,7.07,,Posted,
"",7/8/2016,,,2.84,,Posted,
"",7/7/2016,,,108.00,,Posted,
"",7/7/2016,,,52.64,,Posted,
"",7/7/2016,,,3.47,,Posted,
"",7/7/2016,,,3.07,,Posted,
"",7/6/2016,,,27.03,,Posted,
"",7/6/2016,,,7.07,,Posted,
"",7/6/2016,,,5.72,,Posted,
"",7/5/2016,,,89.97,,Posted,
"",7/5/2016,,,26.08,,Posted,
"",7/5/2016,,,39.37,,Posted,
"",7/5/2016,,,33.13,,Posted,
"",7/5/2016,,,17.61,,Posted,
"",7/5/2016,,,8.23,,Posted,
"",7/5/2016,,,7.07,,Posted,
"",7/5/2016,,,.80,,Posted,
"",7/5/2016,,,369.67,,Posted,
"",7/1/2016,,,280.14,,Posted,
"",7/1/2016,,,200.00,,Posted,
"",7/1/2016,,,,,Posted,
"",6/29/2016,,,37.94,,Posted,
"",6/28/2016,,,41.28,,Posted,
"",6/28/2016,,,39.15,,Posted,
"",6/28/2016,,,3.59,,Posted,
"",6/27/2016,,,185.00,,Posted,
"",6/27/2016,,,8.99,,Posted,
"",6/27/2016,,,21.64,,Posted,
"",6/23/2016,,,98.78,,Posted,
"",6/21/2016,,,235.95,,Posted,
"",6/20/2016,,,271.00,,Posted,
"",6/20/2016,,,6.00,,Posted,
"",6/20/2016,,,3.99,,Posted,
"",6/20/2016,,,73.98,,Posted,
"",6/20/2016,,,20.05,,Posted,
"",6/20/2016,,,200.00,,Posted,
"",6/17/2016,,,46.00,,Posted,
"",6/17/2016,,,,,Posted,